Player Name,Team,Sport,Match Date,Position,Country,Points/Goals,Assists,Minutes Played,Match Result
Player_31,Storm,Basketball,22-03-2023,Goalkeeper,Germany,89,8,20,Loss
Player_27,Dragons,Cricket,23-03-2023,Forward,UK,43,10,108,Win
Player_26,Falcons,Cricket,24-03-2023,Batsman,Australia,33,14,81,Loss
Player_12,Falcons,Cricket,25-03-2023,Batsman,USA,73,5,119,Draw
Player_14,Panthers,Football,26-03-2023,Batsman,Australia,61,2,87,Draw
Player_46,Hawks,Basketball,27-03-2023,Batsman,India,99,16,83,Win
Player_17,Hawks,Football,28-03-2023,Batsman,Germany,13,4,75,Win
Player_43,Storm,Basketball,29-03-2023,Forward,USA,94,11,55,Win
Player_8,Blazers,Football,30-03-2023,Bowler,Germany,47,17,18,Loss
Player_5,Falcons,Football,31-03-2023,Midfielder,UK,14,13,12,Loss
Player_43,Warriors,Cricket,01-04-2023,Bowler,USA,71,10,94,Loss
Player_27,Dragons,Cricket,02-04-2023,Goalkeeper,Germany,77,8,35,Draw
Player_2,Titans,Cricket,03-04-2023,Forward,UK,86,1,81,Win
Player_26,Hawks,Basketball,04-04-2023,Goalkeeper,Australia,61,11,57,Win
Player_40,Panthers,Basketball,05-04-2023,Forward,Australia,39,2,75,Win
Player_18,Warriors,Cricket,06-04-2023,Goalkeeper,Australia,84,2,79,Draw
Player_36,Warriors,Cricket,07-04-2023,Bowler,Australia,79,0,37,Draw
Player_25,Warriors,Basketball,08-04-2023,Guard,India,81,7,102,Loss
Player_50,Falcons,Cricket,09-04-2023,Batsman,UK,52,7,35,Loss
Player_15,Dragons,Basketball,10-04-2023,Forward,UK,23,10,34,Win
Player_40,Dragons,Football,11-04-2023,Guard,Brazil,25,8,21,Draw
Player_1,Falcons,Football,12-04-2023,Batsman,Australia,88,4,14,Win
Player_43,Panthers,Football,13-04-2023,Batsman,India,59,13,107,Win
Player_32,Dragons,Basketball,14-04-2023,Goalkeeper,Australia,40,2,57,Draw
Player_33,Hawks,Cricket,15-04-2023,Guard,Brazil,28,4,46,Loss
Player_11,Warriors,Football,16-04-2023,Guard,Germany,14,4,88,Draw
Player_47,Blazers,Basketball,17-04-2023,Batsman,India,44,18,53,Loss
Player_39,Hawks,Cricket,18-04-2023,Midfielder,Germany,64,13,109,Draw
Player_5,Titans,Cricket,19-04-2023,Forward,UK,88,3,24,Win
Player_36,Hawks,Cricket,20-04-2023,Guard,Brazil,70,12,52,Loss
Player_31,Blazers,Football,21-04-2023,Midfielder,Brazil,8,9,57,Draw
Player_22,Panthers,Football,22-04-2023,Guard,Australia,87,17,96,Draw
Player_23,Dragons,Cricket,23-04-2023,Midfielder,Germany,0,7,79,Win
Player_7,Warriors,Cricket,24-04-2023,Batsman,USA,7,7,55,Loss
Player_31,Blazers,Cricket,25-04-2023,Bowler,Brazil,87,6,117,Win
Player_50,Panthers,Football,26-04-2023,Goalkeeper,UK,62,7,52,Win
Player_46,Dragons,Cricket,27-04-2023,Forward,Germany,10,13,118,Draw
Player_10,Dragons,Basketball,28-04-2023,Forward,India,80,18,30,Win
Player_37,Falcons,Basketball,29-04-2023,Forward,USA,7,5,32,Loss
Player_21,Titans,Cricket,30-04-2023,Midfielder,India,34,0,116,Draw
Player_43,Blazers,Basketball,01-05-2023,Goalkeeper,USA,34,14,89,Loss
Player_38,Blazers,Cricket,02-05-2023,Guard,India,32,0,56,Draw
Player_13,Warriors,Football,03-05-2023,Bowler,Australia,4,16,24,Loss
Player_26,Blazers,Cricket,04-05-2023,Goalkeeper,Brazil,40,0,34,Win
Player_10,Warriors,Football,05-05-2023,Forward,Germany,27,14,45,Loss
Player_7,Titans,Football,06-05-2023,Batsman,Brazil,6,1,84,Draw
Player_18,Warriors,Basketball,07-05-2023,Goalkeeper,Germany,72,13,60,Loss
Player_45,Hawks,Football,08-05-2023,Bowler,Australia,71,7,24,Win
Player_22,Falcons,Cricket,09-05-2023,Midfielder,Brazil,11,7,77,Loss
Player_10,Warriors,Football,10-05-2023,Batsman,UK,33,18,30,Draw
Player_8,Titans,Basketball,11-05-2023,Guard,USA,32,6,22,Draw
Player_16,Panthers,Football,12-05-2023,Batsman,Australia,47,18,95,Win
Player_12,Titans,Football,13-05-2023,Forward,USA,22,5,28,Win
Player_42,Storm,Football,14-05-2023,Forward,Germany,61,5,43,Draw
Player_20,Hawks,Cricket,15-05-2023,Goalkeeper,India,87,2,87,Draw
Player_13,Dragons,Basketball,16-05-2023,Guard,India,36,6,77,Loss
Player_23,Hawks,Cricket,17-05-2023,Bowler,USA,98,18,61,Draw
Player_13,Panthers,Cricket,18-05-2023,Goalkeeper,Australia,43,7,119,Win
Player_3,Warriors,Basketball,19-05-2023,Batsman,USA,85,9,36,Loss
Player_50,Titans,Football,20-05-2023,Forward,India,90,19,38,Loss
Player_49,Panthers,Football,21-05-2023,Midfielder,India,34,14,37,Win
Player_45,Titans,Cricket,22-05-2023,Forward,USA,64,14,44,Loss
Player_25,Falcons,Basketball,23-05-2023,Batsman,Australia,98,0,17,Loss
Player_15,Hawks,Cricket,24-05-2023,Bowler,Australia,46,19,25,Loss
Player_20,Panthers,Football,25-05-2023,Bowler,Brazil,77,6,115,Draw
Player_4,Blazers,Football,26-05-2023,Midfielder,UK,2,3,45,Win
Player_33,Panthers,Football,27-05-2023,Midfielder,UK,0,5,39,Win
Player_22,Falcons,Football,28-05-2023,Goalkeeper,UK,4,0,27,Draw
Player_30,Warriors,Basketball,29-05-2023,Batsman,Australia,89,4,11,Win
Player_10,Blazers,Basketball,30-05-2023,Bowler,Australia,13,0,58,Loss
Player_25,Dragons,Cricket,31-05-2023,Bowler,USA,26,3,86,Draw
Player_39,Storm,Basketball,01-06-2023,Goalkeeper,Australia,8,1,13,Win
Player_7,Blazers,Basketball,02-06-2023,Bowler,Germany,78,9,99,Win
Player_12,Warriors,Basketball,03-06-2023,Bowler,UK,14,4,98,Draw
Player_7,Falcons,Football,04-06-2023,Goalkeeper,USA,89,9,103,Draw
Player_5,Hawks,Cricket,05-06-2023,Bowler,Brazil,41,0,84,Loss
Player_29,Hawks,Cricket,06-06-2023,Bowler,Germany,76,5,16,Draw
Player_35,Blazers,Cricket,07-06-2023,Batsman,USA,50,12,104,Draw
Player_48,Hawks,Cricket,08-06-2023,Midfielder,Brazil,62,14,117,Loss
Player_45,Blazers,Football,09-06-2023,Goalkeeper,Germany,95,3,83,Draw
Player_47,Hawks,Basketball,10-06-2023,Batsman,Brazil,51,12,48,Loss
Player_27,Blazers,Football,11-06-2023,Forward,UK,95,19,22,Draw
Player_18,Warriors,Cricket,12-06-2023,Midfielder,Germany,3,14,40,Win
Player_33,Dragons,Cricket,13-06-2023,Midfielder,USA,93,7,80,Draw
Player_28,Hawks,Football,14-06-2023,Midfielder,Germany,22,4,72,Draw
Player_40,Warriors,Basketball,15-06-2023,Midfielder,USA,14,14,65,Draw
Player_11,Warriors,Basketball,16-06-2023,Goalkeeper,UK,42,3,51,Draw
Player_50,Panthers,Basketball,17-06-2023,Midfielder,USA,28,11,70,Draw
Player_22,Hawks,Basketball,18-06-2023,Forward,Brazil,35,12,51,Win
Player_37,Blazers,Cricket,19-06-2023,Bowler,India,12,1,65,Loss
Player_14,Dragons,Football,20-06-2023,Bowler,India,31,18,45,Draw
Player_21,Dragons,Cricket,21-06-2023,Bowler,UK,70,18,93,Loss
Player_45,Dragons,Basketball,22-06-2023,Goalkeeper,UK,58,3,77,Loss
Player_13,Storm,Cricket,23-06-2023,Midfielder,UK,85,3,16,Draw
Player_11,Storm,Football,24-06-2023,Bowler,India,27,10,63,Win
Player_15,Blazers,Basketball,25-06-2023,Forward,India,65,4,10,Loss
Player_44,Warriors,Football,26-06-2023,Midfielder,USA,41,19,53,Win
Player_45,Warriors,Basketball,27-06-2023,Bowler,Germany,44,10,54,Win
Player_33,Dragons,Basketball,28-06-2023,Batsman,Germany,61,9,115,Draw
Player_21,Dragons,Cricket,29-06-2023,Midfielder,Brazil,56,7,56,Win
Player_28,Blazers,Cricket,30-06-2023,Bowler,India,5,5,22,Draw
Player_23,Dragons,Basketball,01-07-2023,Forward,UK,27,5,31,Draw
Player_33,Panthers,Cricket,02-07-2023,Bowler,Brazil,27,7,30,Draw
Player_32,Titans,Football,03-07-2023,Forward,USA,43,14,95,Draw
Player_21,Storm,Cricket,04-07-2023,Forward,UK,83,13,101,Win
Player_34,Panthers,Basketball,05-07-2023,Guard,Australia,29,10,18,Draw
Player_14,Storm,Cricket,06-07-2023,Bowler,UK,61,11,35,Loss
Player_2,Blazers,Football,07-07-2023,Batsman,India,74,12,18,Draw
Player_29,Panthers,Basketball,08-07-2023,Midfielder,India,91,7,24,Draw
Player_7,Panthers,Basketball,09-07-2023,Bowler,Germany,88,17,19,Draw
Player_1,Falcons,Basketball,10-07-2023,Goalkeeper,Germany,61,0,97,Win
Player_31,Blazers,Football,11-07-2023,Bowler,USA,96,14,51,Loss
Player_12,Titans,Basketball,12-07-2023,Batsman,Australia,0,7,81,Draw
Player_12,Hawks,Basketball,13-07-2023,Batsman,USA,26,10,33,Win
Player_10,Storm,Football,14-07-2023,Goalkeeper,India,61,11,89,Draw
Player_22,Blazers,Cricket,15-07-2023,Forward,Germany,76,11,58,Draw
Player_15,Storm,Football,16-07-2023,Midfielder,UK,2,3,35,Loss
Player_17,Falcons,Football,17-07-2023,Bowler,Germany,69,15,100,Win
Player_16,Warriors,Football,18-07-2023,Forward,Australia,71,3,46,Loss
Player_1,Panthers,Cricket,19-07-2023,Forward,USA,26,4,77,Loss
Player_44,Dragons,Basketball,20-07-2023,Midfielder,India,8,4,59,Win
Player_22,Panthers,Football,21-07-2023,Batsman,Germany,61,7,33,Win
Player_1,Panthers,Cricket,22-07-2023,Batsman,Germany,36,9,28,Draw
Player_36,Panthers,Basketball,23-07-2023,Goalkeeper,USA,96,16,109,Win
Player_16,Titans,Basketball,24-07-2023,Midfielder,Germany,50,8,69,Draw
Player_36,Blazers,Basketball,25-07-2023,Goalkeeper,Brazil,43,18,48,Draw
Player_22,Blazers,Cricket,26-07-2023,Bowler,India,23,13,83,Loss
Player_34,Storm,Cricket,27-07-2023,Bowler,Brazil,78,7,98,Loss
Player_9,Falcons,Basketball,28-07-2023,Bowler,Germany,58,8,27,Loss
Player_35,Panthers,Basketball,29-07-2023,Guard,Germany,31,10,28,Loss
Player_35,Warriors,Cricket,30-07-2023,Midfielder,USA,95,0,45,Loss
Player_30,Blazers,Football,31-07-2023,Bowler,India,87,13,83,Draw
Player_47,Panthers,Football,01-08-2023,Midfielder,USA,51,4,106,Draw
Player_28,Titans,Football,02-08-2023,Midfielder,Brazil,61,13,64,Loss
Player_4,Panthers,Cricket,03-08-2023,Forward,USA,57,3,78,Draw
Player_11,Storm,Football,04-08-2023,Batsman,Brazil,51,0,56,Draw
Player_16,Dragons,Football,05-08-2023,Bowler,Australia,11,18,58,Loss
Player_13,Dragons,Basketball,06-08-2023,Bowler,Brazil,38,7,108,Loss
Player_9,Dragons,Cricket,07-08-2023,Midfielder,Australia,1,14,117,Win
Player_32,Storm,Cricket,08-08-2023,Guard,UK,2,14,107,Win
Player_1,Dragons,Cricket,09-08-2023,Forward,USA,55,8,42,Loss
Player_39,Warriors,Football,10-08-2023,Guard,Australia,80,8,30,Loss
Player_31,Storm,Football,11-08-2023,Batsman,UK,58,9,90,Draw
Player_47,Falcons,Football,12-08-2023,Guard,Australia,1,19,31,Draw
Player_22,Panthers,Cricket,13-08-2023,Forward,Australia,1,8,57,Win
Player_15,Blazers,Cricket,14-08-2023,Guard,Australia,91,2,46,Loss
Player_27,Storm,Basketball,15-08-2023,Midfielder,Australia,53,19,24,Win
Player_41,Panthers,Basketball,16-08-2023,Bowler,Australia,86,10,44,Draw
Player_6,Storm,Basketball,17-08-2023,Guard,Australia,95,5,101,Loss
Player_24,Blazers,Cricket,18-08-2023,Bowler,Germany,96,1,80,Loss
Player_42,Panthers,Basketball,19-08-2023,Forward,Brazil,0,6,41,Loss
Player_10,Blazers,Basketball,20-08-2023,Batsman,Brazil,18,17,20,Draw
Player_9,Blazers,Basketball,21-08-2023,Midfielder,Brazil,1,1,19,Draw
Player_26,Warriors,Cricket,22-08-2023,Midfielder,Australia,52,16,82,Draw
Player_9,Blazers,Cricket,23-08-2023,Midfielder,Germany,43,10,87,Win
Player_28,Dragons,Basketball,24-08-2023,Midfielder,Brazil,89,11,86,Win
Player_31,Panthers,Cricket,25-08-2023,Batsman,Australia,31,18,66,Loss
Player_5,Warriors,Cricket,26-08-2023,Bowler,UK,69,6,34,Loss
Player_16,Falcons,Cricket,27-08-2023,Batsman,Australia,31,19,11,Loss
Player_27,Dragons,Cricket,28-08-2023,Guard,USA,67,5,73,Win
Player_50,Panthers,Cricket,29-08-2023,Batsman,Brazil,54,0,44,Draw
Player_9,Storm,Football,30-08-2023,Goalkeeper,UK,74,16,16,Draw
Player_45,Warriors,Basketball,31-08-2023,Guard,Germany,55,10,94,Win
Player_32,Hawks,Cricket,01-09-2023,Batsman,UK,16,17,27,Draw
Player_16,Dragons,Basketball,02-09-2023,Goalkeeper,Brazil,37,16,76,Loss
Player_23,Titans,Cricket,03-09-2023,Midfielder,Germany,23,6,51,Draw
Player_12,Blazers,Football,04-09-2023,Guard,USA,68,16,48,Loss
Player_1,Hawks,Football,05-09-2023,Bowler,Germany,97,19,50,Loss
Player_23,Warriors,Basketball,06-09-2023,Midfielder,Germany,69,8,84,Draw
Player_47,Blazers,Cricket,07-09-2023,Guard,Australia,85,16,112,Loss
Player_29,Warriors,Basketball,08-09-2023,Bowler,India,10,19,33,Loss
Player_4,Hawks,Football,09-09-2023,Bowler,UK,15,7,69,Draw
Player_25,Storm,Cricket,10-09-2023,Midfielder,Brazil,96,16,55,Draw
Player_20,Storm,Cricket,11-09-2023,Guard,India,72,6,28,Win
Player_15,Hawks,Cricket,12-09-2023,Guard,Brazil,58,0,77,Loss
Player_44,Titans,Cricket,13-09-2023,Goalkeeper,UK,69,12,99,Draw
Player_8,Dragons,Basketball,14-09-2023,Guard,Australia,79,18,111,Win
Player_42,Titans,Football,15-09-2023,Forward,Australia,92,18,51,Draw
Player_34,Warriors,Football,16-09-2023,Midfielder,USA,2,16,41,Win
Player_23,Titans,Cricket,17-09-2023,Batsman,UK,19,12,48,Win
Player_25,Dragons,Basketball,18-09-2023,Guard,India,58,15,118,Loss
Player_11,Falcons,Football,19-09-2023,Forward,India,35,7,119,Loss
Player_21,Hawks,Basketball,20-09-2023,Guard,UK,18,18,45,Win
Player_2,Panthers,Football,21-09-2023,Midfielder,Germany,89,17,113,Draw
Player_37,Dragons,Football,22-09-2023,Batsman,India,66,0,110,Loss
Player_26,Blazers,Football,23-09-2023,Goalkeeper,Brazil,18,13,106,Loss
Player_41,Falcons,Cricket,24-09-2023,Batsman,Australia,19,18,45,Draw
Player_11,Falcons,Cricket,25-09-2023,Guard,Germany,95,14,12,Win
Player_32,Dragons,Football,26-09-2023,Batsman,UK,70,17,82,Loss
Player_36,Blazers,Basketball,27-09-2023,Batsman,Germany,51,1,17,Draw
Player_9,Falcons,Cricket,28-09-2023,Forward,USA,32,16,106,Loss
Player_8,Hawks,Basketball,29-09-2023,Midfielder,Brazil,39,17,79,Win
Player_33,Blazers,Basketball,30-09-2023,Bowler,Germany,38,5,50,Loss
Player_18,Hawks,Basketball,01-10-2023,Guard,Brazil,81,18,112,Loss
Player_4,Blazers,Basketball,02-10-2023,Goalkeeper,UK,0,3,77,Win
Player_47,Blazers,Cricket,03-10-2023,Goalkeeper,UK,10,0,22,Draw
Player_46,Warriors,Cricket,04-10-2023,Bowler,Germany,91,7,58,Draw
Player_4,Blazers,Football,05-10-2023,Bowler,USA,56,6,69,Win
Player_24,Blazers,Cricket,06-10-2023,Guard,UK,88,2,11,Loss
Player_5,Blazers,Cricket,07-10-2023,Guard,Australia,49,9,69,Loss
Player_46,Storm,Football,08-10-2023,Midfielder,Australia,22,9,14,Loss
Player_3,Dragons,Basketball,09-10-2023,Forward,Brazil,30,18,53,Win
Player_21,Dragons,Football,10-10-2023,Batsman,UK,93,13,36,Draw
Player_23,Titans,Football,11-10-2023,Forward,UK,41,1,41,Win
Player_42,Storm,Cricket,12-10-2023,Midfielder,UK,98,0,30,Win
Player_22,Panthers,Cricket,13-10-2023,Bowler,India,6,17,17,Win
Player_34,Storm,Basketball,14-10-2023,Bowler,UK,15,6,111,Loss
Player_41,Hawks,Football,15-10-2023,Batsman,Brazil,89,7,81,Win
Player_4,Panthers,Football,16-10-2023,Midfielder,Australia,59,0,59,Loss
Player_43,Falcons,Football,17-10-2023,Goalkeeper,Germany,1,2,76,Loss
Player_45,Storm,Cricket,18-10-2023,Midfielder,USA,0,7,53,Draw
Player_5,Falcons,Basketball,19-10-2023,Forward,Australia,47,14,67,Loss
Player_2,Warriors,Basketball,20-10-2023,Batsman,USA,11,4,12,Draw
Player_1,Blazers,Basketball,21-10-2023,Batsman,USA,68,2,95,Win
Player_10,Blazers,Basketball,22-10-2023,Guard,UK,36,18,79,Loss
Player_24,Panthers,Cricket,23-10-2023,Goalkeeper,India,31,0,11,Draw
Player_35,Panthers,Cricket,24-10-2023,Forward,Germany,8,14,96,Loss
Player_24,Storm,Football,25-10-2023,Guard,UK,98,7,53,Win
Player_42,Titans,Cricket,26-10-2023,Forward,Australia,18,1,11,Draw
Player_19,Dragons,Cricket,27-10-2023,Bowler,USA,47,2,111,Win
Player_23,Panthers,Basketball,28-10-2023,Guard,Brazil,79,13,90,Loss
Player_18,Panthers,Cricket,29-10-2023,Bowler,Brazil,2,13,44,Draw
Player_14,Warriors,Basketball,30-10-2023,Guard,Australia,19,10,107,Win
Player_30,Titans,Basketball,31-10-2023,Goalkeeper,Germany,23,15,96,Loss
Player_6,Titans,Cricket,01-11-2023,Midfielder,India,53,3,39,Draw
Player_29,Panthers,Cricket,02-11-2023,Guard,India,32,19,17,Loss
Player_30,Storm,Football,03-11-2023,Forward,USA,23,4,31,Draw
Player_3,Falcons,Cricket,04-11-2023,Bowler,Germany,74,13,53,Draw
Player_26,Panthers,Basketball,05-11-2023,Guard,USA,71,15,67,Loss
Player_22,Hawks,Cricket,06-11-2023,Goalkeeper,USA,35,17,45,Win
Player_46,Blazers,Cricket,07-11-2023,Goalkeeper,UK,37,6,78,Draw
Player_27,Titans,Basketball,08-11-2023,Goalkeeper,UK,83,9,86,Draw
Player_39,Storm,Basketball,09-11-2023,Midfielder,USA,98,6,102,Win
Player_9,Panthers,Cricket,10-11-2023,Guard,Australia,88,0,40,Win
Player_31,Hawks,Basketball,11-11-2023,Guard,Germany,98,18,56,Draw
Player_42,Titans,Basketball,12-11-2023,Goalkeeper,UK,24,15,64,Draw
Player_29,Storm,Cricket,13-11-2023,Forward,UK,92,18,89,Win
Player_18,Titans,Cricket,14-11-2023,Guard,Australia,17,3,115,Loss
Player_10,Warriors,Football,15-11-2023,Goalkeeper,Australia,81,17,71,Loss
Player_24,Panthers,Cricket,16-11-2023,Bowler,USA,65,1,39,Win
Player_14,Panthers,Cricket,17-11-2023,Bowler,Australia,53,0,64,Loss
Player_2,Panthers,Football,18-11-2023,Goalkeeper,India,34,14,25,Win
Player_8,Warriors,Football,19-11-2023,Batsman,Germany,79,4,21,Draw
Player_22,Blazers,Basketball,20-11-2023,Forward,UK,60,19,26,Draw
Player_35,Hawks,Football,21-11-2023,Batsman,UK,40,10,25,Draw
Player_11,Panthers,Basketball,22-11-2023,Forward,Germany,99,9,21,Loss
Player_14,Panthers,Basketball,23-11-2023,Goalkeeper,India,32,1,17,Win
Player_33,Titans,Basketball,24-11-2023,Bowler,Germany,67,2,93,Win
Player_33,Blazers,Basketball,25-11-2023,Guard,Germany,32,11,12,Win
Player_10,Dragons,Basketball,26-11-2023,Goalkeeper,UK,13,19,25,Win
Player_48,Storm,Basketball,27-11-2023,Goalkeeper,USA,20,4,39,Win
Player_27,Hawks,Football,28-11-2023,Guard,Australia,47,4,118,Draw
Player_44,Dragons,Cricket,29-11-2023,Bowler,UK,19,5,32,Draw
Player_20,Panthers,Football,30-11-2023,Midfielder,India,7,8,101,Loss
Player_22,Hawks,Cricket,01-12-2023,Bowler,India,6,1,113,Draw
Player_23,Hawks,Football,02-12-2023,Batsman,Germany,66,11,14,Win
Player_7,Storm,Cricket,03-12-2023,Bowler,USA,16,2,93,Loss
Player_3,Titans,Cricket,04-12-2023,Guard,Germany,32,19,113,Loss
Player_19,Dragons,Football,05-12-2023,Guard,India,47,11,117,Draw
Player_31,Blazers,Cricket,06-12-2023,Guard,Germany,75,16,74,Loss
Player_39,Falcons,Cricket,07-12-2023,Forward,USA,58,9,39,Draw
Player_46,Hawks,Football,08-12-2023,Goalkeeper,India,85,13,30,Win
Player_11,Falcons,Cricket,09-12-2023,Guard,Brazil,21,16,93,Loss
Player_1,Storm,Basketball,10-12-2023,Bowler,Brazil,29,17,79,Draw
Player_3,Hawks,Cricket,11-12-2023,Batsman,Brazil,37,18,31,Loss
Player_8,Storm,Football,12-12-2023,Batsman,UK,50,16,91,Loss
Player_4,Panthers,Football,13-12-2023,Forward,UK,53,13,81,Draw
Player_5,Falcons,Football,14-12-2023,Batsman,Australia,7,8,112,Draw
Player_40,Hawks,Football,15-12-2023,Forward,UK,26,7,41,Win
Player_38,Falcons,Basketball,16-12-2023,Midfielder,Brazil,26,1,42,Loss
